Price,Close,High,Low,Open,Volume
Ticker,^N225,^N225,^N225,^N225,^N225
Date,,,,,
1980-10-08,7115.330078125,7115.330078125,7115.330078125,7115.330078125,0
1980-10-09,7130.2998046875,7130.2998046875,7130.2998046875,7130.2998046875,0
1980-10-13,7160.259765625,7160.259765625,7160.259765625,7160.259765625,0
1980-10-14,7157.7998046875,7157.7998046875,7157.7998046875,7157.7998046875,0
1980-10-15,7174.27001953125,7174.27001953125,7174.27001953125,7174.27001953125,0
1980-10-16,7151.77978515625,7151.77978515625,7151.77978515625,7151.77978515625,0
1980-10-17,7169.259765625,7169.259765625,7169.259765625,7169.259765625,0
1980-10-20,7175.330078125,7175.330078125,7175.330078125,7175.330078125,0
1980-10-21,7165.35986328125,7165.35986328125,7165.35986328125,7165.35986328125,0
1980-10-22,7143.85986328125,7143.85986328125,7143.85986328125,7143.85986328125,0
1980-10-23,7130.89013671875,7130.89013671875,7130.89013671875,7130.89013671875,0
1980-10-24,7117.06982421875,7117.06982421875,7117.06982421875,7117.06982421875,0
1980-10-27,7089.18994140625,7089.18994140625,7089.18994140625,7089.18994140625,0
1980-10-28,7088.43994140625,7088.43994140625,7088.43994140625,7088.43994140625,0
1980-10-29,7113.52978515625,7113.52978515625,7113.52978515625,7113.52978515625,0
1980-10-30,7124.77978515625,7124.77978515625,7124.77978515625,7124.77978515625,0
1980-10-31,7150.75,7150.75,7150.75,7150.75,0
1980-11-04,7149.3701171875,7149.3701171875,7149.3701171875,7149.3701171875,0
1980-11-05,7176.39013671875,7176.39013671875,7176.39013671875,7176.39013671875,0
1980-11-06,7188.27978515625,7188.27978515625,7188.27978515625,7188.27978515625,0
1980-11-07,7150.330078125,7150.330078125,7150.330078125,7150.330078125,0
1980-11-10,7166.77001953125,7166.77001953125,7166.77001953125,7166.77001953125,0
1980-11-11,7134.5,7134.5,7134.5,7134.5,0
1980-11-12,7149.85009765625,7149.85009765625,7149.85009765625,7149.85009765625,0
1980-11-13,7154.41015625,7154.41015625,7154.41015625,7154.41015625,0
